case_id,profile,prompt_hash,mismatch_label,mismatch_type,mismatch_score,confidence,schema_valid,unsupported_flag,low_confidence_flag,human_review_flag,evidence_phrase_count,evidence_phrases,raw_output,year,program_area,region,case_text,benchmark_mismatch,benchmark_type,placement_score
25,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,wraparound schedule,"{""confidence"": 0.5782, ""evidence"": [""wraparound schedule""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: wraparound schedule"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,South,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering health support placement.",1,schedule_gap,2.184
25,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,wraparound schedule,"{""confidence"": 0.26, ""evidence"": [""wraparound schedule""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: wraparound schedule"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,South,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering health support placement.",1,schedule_gap,2.184
26,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,4,reciprocity unresolved; credential bridge; schedule aligned; no training barrier,"{""confidence"": 0.98, ""evidence"": [""reciprocity unresolved"", ""credential bridge"", ""schedule aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: reciprocity unresolved; credential bridge; schedule aligned; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: schedule aligned, credential bridge, no training barrier, reciprocity unresolved. Participant is considering logistics placement.",0,none,2.9478
26,transfer_adapted_v1,478b302efde69afe,0,none,0.12,0.76,1,0,0,0,4,reciprocity unresolved; credential bridge; schedule aligned; no training barrier,"{""confidence"": 0.76, ""evidence"": [""reciprocity unresolved"", ""credential bridge"", ""schedule aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.12, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: reciprocity unresolved; credential bridge; schedule aligned; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: schedule aligned, credential bridge, no training barrier, reciprocity unresolved. Participant is considering logistics placement.",0,none,2.9478
27,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: schedule aligned, ready for placement. Participant is considering office administration placement.",0,none,3.1514
27,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: schedule aligned, ready for placement. Participant is considering office administration placement.",0,none,3.1514
28,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,skills aligned; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""skills aligned"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: skills aligned; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: skills aligned, schedule aligned. Participant is considering office administration placement.",0,none,2.8945
28,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,skills aligned; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""skills aligned"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: skills aligned; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: skills aligned, schedule aligned. Participant is considering office administration placement.",0,none,2.8945
29,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,Midwest,"Workforce case note for workforce agency. Counselor summary: ready for placement, schedule aligned. Participant is considering office administration placement.",0,none,3.1498
29,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,Midwest,"Workforce case note for workforce agency. Counselor summary: ready for placement, schedule aligned. Participant is considering office administration placement.",0,none,3.1498
30,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,1,license verified,"{""confidence"": 0.98, ""evidence"": [""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,Midwest,Workforce case note for community college. Counselor summary: license verified. Participant is considering health support placement.,0,none,2.5372
30,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,1,license verified,"{""confidence"": 0.98, ""evidence"": [""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,Midwest,Workforce case note for community college. Counselor summary: license verified. Participant is considering health support placement.,0,none,2.5372
31,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,1,1,3,informal experience; schedule aligned; no training barrier,"{""confidence"": 0.98, ""evidence"": [""informal experience"", ""schedule aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: informal experience; schedule aligned; no training barrier"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,South,"Workforce case note for workforce agency. Counselor summary: informal experience, no training barrier, schedule aligned. Participant is considering office administration placement.",0,none,2.8367
31,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,1,1,3,informal experience; schedule aligned; no training barrier,"{""confidence"": 0.98, ""evidence"": [""informal experience"", ""schedule aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: informal experience; schedule aligned; no training barrier"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,South,"Workforce case note for workforce agency. Counselor summary: informal experience, no training barrier, schedule aligned. Participant is considering office administration placement.",0,none,2.8367
32,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,wraparound schedule,"{""confidence"": 0.5782, ""evidence"": [""wraparound schedule""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: wraparound schedule"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,Midwest,Workforce case note for workforce agency. Counselor summary: wraparound schedule. Participant is considering health support placement.,1,schedule_gap,2.5313
32,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,wraparound schedule,"{""confidence"": 0.26, ""evidence"": [""wraparound schedule""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: wraparound schedule"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,Midwest,Workforce case note for workforce agency. Counselor summary: wraparound schedule. Participant is considering health support placement.,1,schedule_gap,2.5313
33,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,1,1,2,partial fit; license verified,"{""confidence"": 0.98, ""evidence"": [""partial fit"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: partial fit; license verified"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: partial fit, license verified. Participant is considering logistics placement.",0,none,3.099
33,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,1,1,2,partial fit; license verified,"{""confidence"": 0.98, ""evidence"": [""partial fit"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: partial fit; license verified"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,West,"Workforce case note for union pathway. Counselor summary: partial fit, license verified. Participant is considering logistics placement.",0,none,3.099
34,rubric_v1,84fd6cb9b699257b,0,none,0.12,0.76,1,0,0,0,0,,"{""confidence"": 0.76, ""evidence"": [], ""mismatch_label"": 0, ""mismatch_score"": 0.12, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""no explicit mismatch evidence found"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,training voucher,West,Workforce case note for training voucher. Counselor summary: care hours conflict. Participant is considering public service placement.,1,schedule_gap,2.5705
34,transfer_adapted_v1,478b302efde69afe,0,none,0.12,0.76,1,0,0,0,0,,"{""confidence"": 0.76, ""evidence"": [], ""mismatch_label"": 0, ""mismatch_score"": 0.12, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""no explicit mismatch evidence found"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,training voucher,West,Workforce case note for training voucher. Counselor summary: care hours conflict. Participant is considering public service placement.,1,schedule_gap,2.5705
35,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,1,license verified,"{""confidence"": 0.98, ""evidence"": [""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,Northeast,Workforce case note for community college. Counselor summary: license verified. Participant is considering public service placement.,0,none,2.9178
35,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,1,license verified,"{""confidence"": 0.98, ""evidence"": [""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,Northeast,Workforce case note for community college. Counselor summary: license verified. Participant is considering public service placement.,0,none,2.9178
36,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,credential bridge,"{""confidence"": 0.5782, ""evidence"": [""credential bridge""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,West,"Workforce case note for workforce agency. Counselor summary: paperwork credential pending, credential bridge. Participant is considering logistics placement.",1,credential_gap,2.6152
36,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,credential bridge,"{""confidence"": 0.26, ""evidence"": [""credential bridge""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: credential bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,West,"Workforce case note for workforce agency. Counselor summary: paperwork credential pending, credential bridge. Participant is considering logistics placement.",1,credential_gap,2.6152
37,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,4,reciprocity unresolved; license bridge; schedule aligned; license verified,"{""confidence"": 0.98, ""evidence"": [""reciprocity unresolved"", ""license bridge"", ""schedule aligned"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: reciprocity unresolved; license bridge; schedule aligned; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: reciprocity unresolved, license verified, schedule aligned, license bridge. Participant is considering health support placement.",0,none,2.8248
37,transfer_adapted_v1,478b302efde69afe,0,none,0.12,0.76,1,0,0,0,4,reciprocity unresolved; license bridge; schedule aligned; license verified,"{""confidence"": 0.76, ""evidence"": [""reciprocity unresolved"", ""license bridge"", ""schedule aligned"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.12, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: reciprocity unresolved; license bridge; schedule aligned; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: reciprocity unresolved, license verified, schedule aligned, license bridge. Participant is considering health support placement.",0,none,2.8248
38,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,credential verified; no training barrier,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential verified; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,South,"Workforce case note for training voucher. Counselor summary: credential verified, no training barrier. Participant is considering logistics placement.",0,none,2.7095
38,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,credential verified; no training barrier,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: credential verified; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,South,"Workforce case note for training voucher. Counselor summary: credential verified, no training barrier. Participant is considering logistics placement.",0,none,2.7095
39,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,shift barrier,"{""confidence"": 0.5782, ""evidence"": [""shift barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: shift barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,West,Workforce case note for training voucher. Counselor summary: shift barrier. Participant is considering logistics placement.,1,schedule_gap,2.357
39,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,shift barrier,"{""confidence"": 0.26, ""evidence"": [""shift barrier""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: shift barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,West,Workforce case note for training voucher. Counselor summary: shift barrier. Participant is considering logistics placement.,1,schedule_gap,2.357
40,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,skills aligned; license verified,"{""confidence"": 0.98, ""evidence"": [""skills aligned"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: skills aligned; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: skills aligned, license verified. Participant is considering logistics placement.",0,none,2.7637
40,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,skills aligned; license verified,"{""confidence"": 0.98, ""evidence"": [""skills aligned"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: skills aligned; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,Midwest,"Workforce case note for city contractor. Counselor summary: skills aligned, license verified. Participant is considering logistics placement.",0,none,2.7637
41,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,1,schedule aligned,"{""confidence"": 0.98, ""evidence"": [""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,Northeast,Workforce case note for workforce agency. Counselor summary: schedule aligned. Participant is considering logistics placement.,0,none,2.679
41,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,1,schedule aligned,"{""confidence"": 0.98, ""evidence"": [""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,Northeast,Workforce case note for workforce agency. Counselor summary: schedule aligned. Participant is considering logistics placement.,0,none,2.679
42,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,rapid upskilling,"{""confidence"": 0.5782, ""evidence"": [""rapid upskilling""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: rapid upskilling"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,South,Workforce case note for union pathway. Counselor summary: rapid upskilling. Participant is considering health support placement.,1,skill_gap,2.4584
42,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,rapid upskilling,"{""confidence"": 0.26, ""evidence"": [""rapid upskilling""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: rapid upskilling"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,South,Workforce case note for union pathway. Counselor summary: rapid upskilling. Participant is considering health support placement.,1,skill_gap,2.4584
43,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,1,credential verified,"{""confidence"": 0.98, ""evidence"": [""credential verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,South,Workforce case note for training voucher. Counselor summary: credential verified. Participant is considering health support placement.,0,none,3.034
43,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,1,credential verified,"{""confidence"": 0.98, ""evidence"": [""credential verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: credential verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,South,Workforce case note for training voucher. Counselor summary: credential verified. Participant is considering health support placement.,0,none,3.034
44,rubric_v1,84fd6cb9b699257b,0,none,0.0291,0.9418,1,0,0,0,3,license bridge; credential bridge; skills aligned,"{""confidence"": 0.9418, ""evidence"": [""license bridge"", ""credential bridge"", ""skills aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.0291, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: license bridge; credential bridge; skills aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,Northeast,"Workforce case note for city contractor. Counselor summary: license bridge, skills aligned, credential bridge. Participant is considering logistics placement.",0,none,2.5313
44,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,3,license bridge; credential bridge; skills aligned,"{""confidence"": 0.26, ""evidence"": [""license bridge"", ""credential bridge"", ""skills aligned""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: license bridge; credential bridge; skills aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,city contractor,Northeast,"Workforce case note for city contractor. Counselor summary: license bridge, skills aligned, credential bridge. Participant is considering logistics placement.",0,none,2.5313
45,rubric_v1,84fd6cb9b699257b,0,none,0.3018,0.3964,1,0,0,0,2,bridge credential; digital intake coaching,"{""confidence"": 0.3964, ""evidence"": [""bridge credential"", ""digital intake coaching""], ""mismatch_label"": 0, ""mismatch_score"": 0.3018, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: bridge credential; digital intake coaching"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,South,"Workforce case note for community college. Counselor summary: bridge credential, digital intake coaching. Participant is considering office administration placement.",1,skill_gap,2.3898
45,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.62,0.24,1,0,1,1,2,bridge credential; digital intake coaching,"{""confidence"": 0.24, ""evidence"": [""bridge credential"", ""digital intake coaching""], ""mismatch_label"": 1, ""mismatch_score"": 0.62, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: bridge credential; digital intake coaching"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,community college,South,"Workforce case note for community college. Counselor summary: bridge credential, digital intake coaching. Participant is considering office administration placement.",1,skill_gap,2.3898
46,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,credential verified; skills aligned,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""skills aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential verified; skills aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: credential verified, skills aligned. Participant is considering health support placement.",0,none,3.0294
46,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,credential verified; skills aligned,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""skills aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: credential verified; skills aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: credential verified, skills aligned. Participant is considering health support placement.",0,none,3.0294
47,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,Northeast,"Workforce case note for workforce agency. Counselor summary: ready for placement, license verified. Participant is considering public service placement.",0,none,3.1887
47,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,workforce agency,Northeast,"Workforce case note for workforce agency. Counselor summary: ready for placement, license verified. Participant is considering public service placement.",0,none,3.1887
48,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,1,skills aligned,"{""confidence"": 0.98, ""evidence"": [""skills aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: skills aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,Midwest,Workforce case note for workforce agency. Counselor summary: skills aligned. Participant is considering office administration placement.,0,none,2.621
48,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,1,skills aligned,"{""confidence"": 0.98, ""evidence"": [""skills aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: skills aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,workforce agency,Midwest,Workforce case note for workforce agency. Counselor summary: skills aligned. Participant is considering office administration placement.,0,none,2.621
49,rubric_v1,84fd6cb9b699257b,0,none,0.3018,0.3964,1,0,0,0,2,bridge credential; digital intake coaching,"{""confidence"": 0.3964, ""evidence"": [""bridge credential"", ""digital intake coaching""], ""mismatch_label"": 0, ""mismatch_score"": 0.3018, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: bridge credential; digital intake coaching"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,West,"Workforce case note for union pathway. Counselor summary: bridge credential, digital intake coaching. Participant is considering office administration placement.",1,skill_gap,2.6288
