doc_id,conservative_v1,expansive_v1,rubric_v1,any_disagreement,sector,region,occupation_group,document_type,benchmark_mismatch,benchmark_type,source_text
142,0,0,0,0,manufacturing,West,customer,resume screen,0,none,resume screen. Job: service representative in manufacturing. Record note: no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.
143,0,0,0,0,technology,West,operations,case review,0,none,case review. Job: operations planner in technology. Record note: completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement.
146,1,1,1,0,health,South,customer,job-match memo,1,credential_gap,"job-match memo. Job: service representative in health. Record note: certification missing, license not held. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
147,0,0,0,0,manufacturing,Midwest,care,resume screen,0,none,"resume screen. Job: patient support specialist in manufacturing. Record note: schedule aligned, ready for placement, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
148,0,0,0,0,health,Northeast,operations,job-match memo,1,skill_gap,job-match memo. Job: operations planner in health. Record note: needs EHR. Applicant history includes recent training. Manager asks whether the match is ready for placement.
149,0,0,0,0,health,West,administration,job-match memo,0,none,"job-match memo. Job: records manager in health. Record note: no training barrier, ready for placement, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
150,0,0,0,0,education,South,operations,job-match memo,1,skill_gap,"job-match memo. Job: operations planner in education. Record note: upskilling required, missing SQL, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement."
151,0,0,0,0,manufacturing,South,care,job-match memo,0,none,"job-match memo. Job: patient support specialist in manufacturing. Record note: license verified, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
152,0,0,0,0,manufacturing,Midwest,customer,job-match memo,0,none,job-match memo. Job: service representative in manufacturing. Record note: meets required credential. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
153,0,0,0,0,education,Midwest,operations,case review,0,none,"case review. Job: logistics coordinator in education. Record note: schedule aligned, ready for placement, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
154,1,1,1,0,manufacturing,South,production,resume screen,1,credential_gap,"resume screen. Job: equipment operator in manufacturing. Record note: license not held, clearance pending. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
155,0,0,0,0,retail,Northeast,care,job-match memo,0,none,"job-match memo. Job: care coordinator in retail. Record note: license verified, credential verified, upskilling required, missing equipment, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement."
156,0,0,0,0,education,Midwest,administration,resume screen,0,none,"resume screen. Job: records manager in education. Record note: completed onboarding, credential verified, skills aligned, permit not current, clearance pending. Applicant history includes recent training. Manager asks whether the match is ready for placement."
157,0,0,0,0,manufacturing,Midwest,administration,resume screen,0,none,"resume screen. Job: grants coordinator in manufacturing. Record note: credential verified, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement."
158,1,1,1,0,education,Midwest,analysis,job-match memo,1,credential_gap,"job-match memo. Job: benefits analyst in education. Record note: license not held, credential missing. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
160,0,0,0,0,manufacturing,Northeast,operations,case review,1,credential_gap,"case review. Job: operations planner in manufacturing. Record note: clearance pending, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement."
161,0,0,0,0,education,West,production,resume screen,0,none,"resume screen. Job: production technician in education. Record note: informal experience, meets required credential, ready for placement, completed onboarding. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
162,0,0,0,0,education,Midwest,administration,resume screen,0,none,"resume screen. Job: program assistant in education. Record note: meets required credential, credential verified, skills aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
164,0,0,0,0,technology,Northeast,administration,case review,1,credential_gap,case review. Job: records manager in technology. Record note: certification missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
165,0,0,0,0,public,West,customer,resume screen,0,none,"resume screen. Job: client support lead in public. Record note: meets required credential, license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
166,0,0,0,0,public,West,production,job-match memo,1,schedule_gap,job-match memo. Job: production technician in public. Record note: weekend restriction. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
167,0,0,0,0,retail,South,customer,job-match memo,0,none,job-match memo. Job: service representative in retail. Record note: meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.
168,1,1,1,0,manufacturing,Midwest,care,case review,1,credential_gap,"case review. Job: patient support specialist in manufacturing. Record note: clearance pending, license not held. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
169,0,0,0,0,retail,Midwest,customer,case review,1,skill_gap,"case review. Job: intake specialist in retail. Record note: skills aligned, missing SQL, missing equipment. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
170,0,0,0,0,education,Northeast,customer,case review,1,skill_gap,case review. Job: intake specialist in education. Record note: needs EHR. Applicant history includes recent training. Manager asks whether the match is ready for placement.
171,0,0,0,0,health,West,analysis,resume screen,0,none,"resume screen. Job: data analyst in health. Record note: transitioning from adjacent role, credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement."
172,1,1,1,0,education,Midwest,operations,resume screen,1,credential_gap,"resume screen. Job: logistics coordinator in education. Record note: degree requirement unmet, license pending. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
173,0,0,0,0,public,West,analysis,resume screen,1,schedule_gap,resume screen. Job: data analyst in public. Record note: onsite conflict. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.
174,0,0,0,0,education,Midwest,analysis,resume screen,1,skill_gap,resume screen. Job: data analyst in education. Record note: training required. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
175,0,0,0,0,technology,Northeast,operations,job-match memo,1,schedule_gap,job-match memo. Job: operations planner in technology. Record note: weekend restriction. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
176,0,0,0,0,retail,West,customer,case review,0,none,"case review. Job: intake specialist in retail. Record note: not familiar with dashboards, completed onboarding, degree requirement unmet, schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
177,0,0,0,0,education,West,production,job-match memo,0,none,job-match memo. Job: equipment operator in education. Record note: meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
179,0,0,0,0,manufacturing,Midwest,analysis,case review,1,schedule_gap,case review. Job: data analyst in manufacturing. Record note: onsite conflict. Applicant history includes recent training. Manager asks whether the match is ready for placement.
180,0,0,0,0,technology,South,care,job-match memo,0,none,job-match memo. Job: patient support specialist in technology. Record note: completed onboarding. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
