doc_id,year,sector,region,occupation_group,document_type,job_title,source_text,benchmark_mismatch,benchmark_type,demand_index,applicant_interest
133,2024,technology,West,operations,resume screen,logistics coordinator,"resume screen. Job: logistics coordinator in technology. Record note: credential verified, ready for placement. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.538,3.43
134,2025,public,Northeast,administration,case review,records manager,"case review. Job: records manager in public. Record note: license verified, skills aligned, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.7146,3.5865
135,2023,technology,South,production,resume screen,production technician,resume screen. Job: production technician in technology. Record note: ready for placement. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,0,none,0.5987,3.355
136,2025,public,Midwest,analysis,resume screen,benefits analyst,"resume screen. Job: benefits analyst in public. Record note: license verified, no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.348,2.9815
137,2023,public,Midwest,production,resume screen,equipment operator,"resume screen. Job: equipment operator in public. Record note: completed onboarding, certification missing, lacks Python. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.333,3.2574
138,2023,manufacturing,West,production,resume screen,production technician,"resume screen. Job: production technician in manufacturing. Record note: license verified, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4647,3.5726
139,2023,retail,West,analysis,job-match memo,benefits analyst,job-match memo. Job: benefits analyst in retail. Record note: missing equipment. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,skill_gap,0.8152,3.1883
140,2022,health,Northeast,administration,job-match memo,program assistant,"job-match memo. Job: program assistant in health. Record note: missing equipment, needs EHR, some exposure. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,skill_gap,0.3841,2.5241
141,2025,health,South,customer,case review,client support lead,"case review. Job: client support lead in health. Record note: certification missing, permit not current. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,credential_gap,0.7763,3.424
142,2022,manufacturing,West,customer,resume screen,service representative,resume screen. Job: service representative in manufacturing. Record note: no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.3688,3.9741
143,2023,technology,West,operations,case review,operations planner,case review. Job: operations planner in technology. Record note: completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.5215,3.3368
144,2025,education,South,analysis,resume screen,data analyst,"resume screen. Job: data analyst in education. Record note: needs EHR, not familiar with dashboards. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,skill_gap,0.5075,3.0263
145,2025,health,South,care,job-match memo,care coordinator,"job-match memo. Job: care coordinator in health. Record note: onsite conflict, informal experience, transportation conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,schedule_gap,0.376,2.9364
146,2024,health,South,customer,job-match memo,service representative,"job-match memo. Job: service representative in health. Record note: certification missing, license not held. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,credential_gap,0.4789,2.7309
147,2024,manufacturing,Midwest,care,resume screen,patient support specialist,"resume screen. Job: patient support specialist in manufacturing. Record note: schedule aligned, ready for placement, credential verified. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.9061,3.5979
148,2024,health,Northeast,operations,job-match memo,operations planner,job-match memo. Job: operations planner in health. Record note: needs EHR. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,skill_gap,0.1381,2.8278
149,2023,health,West,administration,job-match memo,records manager,"job-match memo. Job: records manager in health. Record note: no training barrier, ready for placement, schedule aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.2864,3.5726
150,2025,education,South,operations,job-match memo,operations planner,"job-match memo. Job: operations planner in education. Record note: upskilling required, missing SQL, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,skill_gap,0.3708,2.3506
151,2025,manufacturing,South,care,job-match memo,patient support specialist,"job-match memo. Job: patient support specialist in manufacturing. Record note: license verified, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.4978,2.9625
152,2025,manufacturing,Midwest,customer,job-match memo,service representative,job-match memo. Job: service representative in manufacturing. Record note: meets required credential. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.3033,3.3314
153,2024,education,Midwest,operations,case review,logistics coordinator,"case review. Job: logistics coordinator in education. Record note: schedule aligned, ready for placement, completed onboarding. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.6407,2.8195
154,2025,manufacturing,South,production,resume screen,equipment operator,"resume screen. Job: equipment operator in manufacturing. Record note: license not held, clearance pending. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,credential_gap,0.7835,2.8603
155,2025,retail,Northeast,care,job-match memo,care coordinator,"job-match memo. Job: care coordinator in retail. Record note: license verified, credential verified, upskilling required, missing equipment, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.8753,3.4221
156,2023,education,Midwest,administration,resume screen,records manager,"resume screen. Job: records manager in education. Record note: completed onboarding, credential verified, skills aligned, permit not current, clearance pending. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.6433,2.8902
157,2023,manufacturing,Midwest,administration,resume screen,grants coordinator,"resume screen. Job: grants coordinator in manufacturing. Record note: credential verified, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.3145,3.6789
158,2025,education,Midwest,analysis,job-match memo,benefits analyst,"job-match memo. Job: benefits analyst in education. Record note: license not held, credential missing. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,credential_gap,0.3745,2.8465
159,2022,manufacturing,West,administration,job-match memo,grants coordinator,"job-match memo. Job: grants coordinator in manufacturing. Record note: credential missing, certification not current, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,credential_gap,0.6488,3.5063
160,2023,manufacturing,Northeast,operations,case review,operations planner,"case review. Job: operations planner in manufacturing. Record note: clearance pending, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.8464,2.913
161,2024,education,West,production,resume screen,production technician,"resume screen. Job: production technician in education. Record note: informal experience, meets required credential, ready for placement, completed onboarding. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.6937,3.4963
162,2022,education,Midwest,administration,resume screen,program assistant,"resume screen. Job: program assistant in education. Record note: meets required credential, credential verified, skills aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.7561,3.1872
163,2024,health,West,production,job-match memo,equipment operator,"job-match memo. Job: equipment operator in health. Record note: missing SQL, may need support, needs forklift. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,skill_gap,0.5042,3.0019
164,2022,technology,Northeast,administration,case review,records manager,case review. Job: records manager in technology. Record note: certification missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,credential_gap,0.7693,3.2309
165,2023,public,West,customer,resume screen,client support lead,"resume screen. Job: client support lead in public. Record note: meets required credential, license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.7707,3.4209
166,2025,public,West,production,job-match memo,production technician,job-match memo. Job: production technician in public. Record note: weekend restriction. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,1,schedule_gap,0.63,3.0722
167,2025,retail,South,customer,job-match memo,service representative,job-match memo. Job: service representative in retail. Record note: meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.2121,3.3563
168,2023,manufacturing,Midwest,care,case review,patient support specialist,"case review. Job: patient support specialist in manufacturing. Record note: clearance pending, license not held. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,credential_gap,0.4935,3.315
169,2023,retail,Midwest,customer,case review,intake specialist,"case review. Job: intake specialist in retail. Record note: skills aligned, missing SQL, missing equipment. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",1,skill_gap,0.9145,3.0947
170,2024,education,Northeast,customer,case review,intake specialist,case review. Job: intake specialist in education. Record note: needs EHR. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,skill_gap,0.3583,2.4711
171,2024,health,West,analysis,resume screen,data analyst,"resume screen. Job: data analyst in health. Record note: transitioning from adjacent role, credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.6236,3.6639
172,2025,education,Midwest,operations,resume screen,logistics coordinator,"resume screen. Job: logistics coordinator in education. Record note: degree requirement unmet, license pending. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",1,credential_gap,0.4917,3.1244
173,2023,public,West,analysis,resume screen,data analyst,resume screen. Job: data analyst in public. Record note: onsite conflict. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,1,schedule_gap,0.7924,3.3045
174,2024,education,Midwest,analysis,resume screen,data analyst,resume screen. Job: data analyst in education. Record note: training required. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,skill_gap,0.4462,2.8083
175,2024,technology,Northeast,operations,job-match memo,operations planner,job-match memo. Job: operations planner in technology. Record note: weekend restriction. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,schedule_gap,0.6744,2.8291
176,2022,retail,West,customer,case review,intake specialist,"case review. Job: intake specialist in retail. Record note: not familiar with dashboards, completed onboarding, degree requirement unmet, schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4655,3.7785
177,2024,education,West,production,job-match memo,equipment operator,job-match memo. Job: equipment operator in education. Record note: meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,0,none,0.5928,3.2225
178,2023,health,West,operations,resume screen,logistics coordinator,"resume screen. Job: logistics coordinator in health. Record note: license not held, completed onboarding, credential missing. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.",0,none,0.445,3.3851
179,2024,manufacturing,Midwest,analysis,case review,data analyst,case review. Job: data analyst in manufacturing. Record note: onsite conflict. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,schedule_gap,0.4548,2.9439
180,2025,technology,South,care,job-match memo,patient support specialist,job-match memo. Job: patient support specialist in technology. Record note: completed onboarding. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.,0,none,0.5981,3.4204
